State,VotedDem?
Alabama,No
Alaska,No
Arizona,No
Arkansas,No
California,Yes
Colorado,Yes
Connecticut,Yes
Delaware,Yes
District of Columbia,Yes
Florida,No
Georgia,No
Hawaii,Yes
Idaho,No
Illinois,Yes
Indiana,No
Iowa,No
Kansas,No
Kentucky,No
Louisiana,No
Maine,Yes
Maryland,Yes
Massachusetts,Yes
Michigan,No
Minnesota,Yes
Mississippi,No
Missouri,No
Montana,No
Nebraska,No
Nevada,Yes
New Hampshire,Yes
New Jersey,Yes
New Mexico,Yes
New York,Yes
North Carolina,No
North Dakota,No
Ohio,No
Oklahoma,No
Oregon,Yes
Pennsylvania,No
Rhode Island,Yes
South Carolina,No
South Dakota,No
Tennessee,No
Texas,No
Utah,No
Vermont,Yes
Virginia,Yes
Washington,Yes
West Virginia,No
Wisconsin,No
Wyoming,No