Location,Average Monthly Advanced Premium Tax Credit,Number of Marketplace Enrollees Receiving Advanced Premium Tax Credits,Estimated Total Annual Premium Tax Credits Received by Marketplace Enrollees,InflationAdjustedACAsubsidy
Alabama,$610 ,132717,972221038,913887775.7
Alaska,$659 ,13254,104857165,98565735.1
Arizona,$497 ,111689,665456465,625529077.1
Arkansas,$395 ,49478,234525720,220454176.8
California,$476 ,1174764,6706586704,6304191502
Colorado,$538 ,111758,721844922,678534226.7
Connecticut,$510 ,66966,409695309,385113590.5
Delaware,$742 ,17276,153721848,144498537.1
District of Columbia,$368 ,969,4284685,4027603.9
Florida,$542 ,1474516,9583174387,9008183924
Georgia,$538 ,337826,2180356030,2049534668
Hawaii,$559 ,14238,95539258,89806902.52
Idaho,$479 ,76830,441692597,415191041.2
Illinois,$526 ,226065,1428224414,1342530949
Indiana,$339 ,87173,354818518,333529406.9
Iowa,$878 ,41179,433684051,407663007.9
Kansas,$588 ,69688,492011218,462490544.9
Kentucky,$507 ,58059,353098581,331912666.1
Louisiana,$499 ,69942,418451795,393344687.3
Maine,$588 ,52589,370935460,348679332.4
Maryland,$479 ,114189,655919886,616564692.8
Massachusetts,$248 ,221692,658983904,619444869.8
Michigan,$387 ,202809,942526434,885974848
Minnesota,$310 ,59219,220166767,206956761
Mississippi,$595 ,72918,520862024,489610302.6
Missouri,$578 ,156258,1083861741,1018830037
Montana,$582 ,34241,238962460,224624712.4
Nebraska,$822 ,76949,759200380,713648357.2
Nevada,$423 ,58503,296708495,278905985.3
New Hampshire,$412 ,28665,141833273,133323276.6
New Jersey,$365 ,162892,713857901,671026426.9
New Mexico,$395 ,30364,143943578,135306963.3
New York,$327 ,140173,549618333,516641233
North Carolina,$675 ,402226,3256196449,3060824662
North Dakota,$389 ,17224,80327224,75507590.56
Ohio,$401 ,132806,638998725,600658801.5
Oklahoma,$640 ,131110,1006704535,946302262.9
Oregon,$452 ,95106,516368516,485386405
Pennsylvania,$540 ,266152,1723131924,1619744009
Rhode Island,$327 ,27027,105946921,99590105.74
South Carolina,$600 ,167649,1207595865,1135140113
South Dakota,$554 ,24495,162936821,153160611.7
Tennessee,$609 ,155951,1140494615,1072064938
Texas,$483 ,822509,4763610224,4477793611
Utah,$413 ,165977,823518122,774107034.7
Vermont,$429 ,21506,110718049,104074966.1
Virginia,$598 ,218775,1569351834,1475190724
Washington,$410 ,126429,621514850,584223959
West Virginia,$765 ,16527,151700011,142598010.3
Wisconsin,$623 ,157413,1177027373,1106405731
Wyoming,$892 ,20794,222686273,209325096.6